"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.365 Price of tomato, USD","","Wholesale","","","Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two...","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.527 Price of tomato, USD","","Retail","","","Rotting/Decay Over-Ripening","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two...","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.273 Price of tomato, USD","","Traders","","","Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two...","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,12.5,"12.5","","",".375 Price of tomato, USD","","Farm","","","Immaturity Insect Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two...","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","","01213","Cauliflowers and broccoli",2008,16.4,"16.4","","","","",,"","","","588","","Questionnaires","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01213","Cauliflowers and broccoli",2008,16.4,"16.4","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01232","Cucumbers and gherkins",2008,19.7,"19.7","","","","",,"","","","588","","Questionnaires","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01232","Cucumbers and gherkins",2008,19.7,"19.7","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01234","Tomatoes",2008,24.6,"24.6","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01241.90","Other beans, green",2008,21.8,"21.8","","","","",,"","","","588","","Questionnaires","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01241.90","Other beans, green",2008,21.8,"21.8","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01232","Cucumbers and gherkins",2006,5,"5%","63kg/MT","","","Farm","Farm","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,9,"9%","63kg/MT","","","Farm","Farm","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,4,"4%","42kg/MT","","","Collector","Trader","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,5,"5%","42kg/MT","","","Collector","Trader","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,4,"4%","48kg/MT","","","Wholesale","Distribution","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,5,"5%","48kg/MT","","","Wholesale","Distribution","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,4,"4%","44kg/MT","","","Retail","Retail","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01232","Cucumbers and gherkins",2006,5,"5%","44kg/MT","","","Retail","Retail","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,6,"6%","105.0kg","","","Farm","Farm","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,1,"1%","16kg/MT","","","Collector","Trader","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,8,"8%","105.0kg","","","Wholesale","Distribution","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,5,"5%","105.0kg","","","Retail","Retail","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,2,"2%","16kg/MT","","","Collector","Trader","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,4,"4%","67kg/MT","","","Wholesale","Distribution","","","","","","","Survey","Genova 2 et al (2006)",""
"116","Cambodia","","01234","Tomatoes",2006,5,"5%","58kg/MT","","","Retail","Retail","","","","","","","Survey","Genova 2 et al (2006)",""
