"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"112","Belarus","","02211","Raw milk of cattle",2007,0.01,"0.006808858","","","","","SWS_Total","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2006,0.02,"0.017039549","","","","","SWS_Total","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2005,0.02,"0.017698802","","","","","SWS_Total","","","","","","Agr Yb 2008. Balance","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2004,0.02,"0.019515622","","","","","SWS_Total","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2004,0.02,"0.019515622","","","","","SWS_Total","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2003,0.02,"0.021355657","","","","","SWS_Total","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2003,0.02,"0.021355657","","","","","SWS_Total","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2002,0.02,"0.020953379","","","","","SWS_Total","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2002,0.02,"0.020953379","","","","","SWS_Total","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2001,0.04,"0.041372748","","","","","SWS_Total","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2001,0.04,"0.041372748","","","","","SWS_Total","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2000,0.02,"0.022273699","","","","","SWS_Total","","","","","","National Production Publication (Yb)","National Statistics Yearbook","FAO Sources",""
"112","Belarus","","02211","Raw milk of cattle",2000,0.02,"0.022273699","","","","","SWS_Total","","","","","","Agriculture Of Bl 2004","FAO Sources","FAO Sources",""
