"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"104","Myanmar","","0142","Groundnuts, excluding shelled",2009,5.22,"5.219074683","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2008,5.43,"5.426717684","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2007,5.61,"5.614486626","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2006,5.4,"5.397460938","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2005,5,"5.000240535","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2004,5,"4.999524459","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"104","Myanmar","","0142","Groundnuts, excluding shelled",2003,5,"4.999430329","","","","","SWS_Total","","","","","","Myanmar Agricultural Statistics (1997-98 To 2009-10) Central Statistical Organization Ministry Of...","FAO Sources","FAO Sources",""
"12","Algeria","","01510","Potatoes",2005,25,"10.0-40","","","","",,"","","","","","","-","(Yahia 2005)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf"
"12","Algeria","","01510","Potatoes",1991,10,"10","","","","","WholeSupplyChain","","","","","","","-","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf"
"144","Sri Lanka","","0142","Groundnuts, excluding shelled",2010,3.97,"3.972125436","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","01510","Potatoes",2010,35.2,"35.20123243","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","0142","Groundnuts, excluding shelled",2009,3.98,"3.978576894","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","01510","Potatoes",2009,26.14,"26.14262561","","","","","SWS_Total","","","","","","Fbs 2006-2010-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","0142","Groundnuts, excluding shelled",2008,4.39,"4.390243902","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","01510","Potatoes",2008,23.28,"23.28254477","","","","","SWS_Total","","","","","","Fbs 2006-2010-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","0142","Groundnuts, excluding shelled",2007,4.47,"4.471544715","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","01510","Potatoes",2007,21.1,"21.10091743","","","","","SWS_Total","","","","","","Fbs 2006-2010-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","0142","Groundnuts, excluding shelled",2006,4.68,"4.684317719","","","","","SWS_Total","","","","","","Fbs-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"144","Sri Lanka","","01510","Potatoes",2006,15.93,"15.92559562","","","","","SWS_Total","","","","","","Fbs 2006-2010-Dptm.Of Census And Statistics- Colombo Sl","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
